map_uid;login;ubiname;team;position;round;total_points;score;checkpoints;end_match;time;
"OfqiMsUgy62ianHDHwU06qc3Fu9";"vbsngjONQUGPmqBw7hozAg";"Nathan_....";;"25";"1";"27";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"24J8RGtsRzeTnX96aq4sSw";"PASZS";;"26";"1";"26";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Kc_n8nNnQ16mMQHwo3ZKQQ";"Paynn4Gahyeon";;"27";"1";"25";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"7AJp1S0ZQeupMQG4oRwnhA";"RandomTM-";;"28";"1";"24";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"cncibHERSXeVpllZONllTA";"Rh3torique";;"29";"1";"23";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2_K-XAMoRUGUMVWtUygEEA";"Seanywolf";;"30";"1";"22";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2_fmQG6AStmH3QO99YlNfg";"Shweetz";;"31";"1";"21";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"_KRQeGumT9S8tjKacsvKBQ";"Speedself";;"32";"1";"20";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"zIlQ8PbTRdytK83hIYqDmQ";"Stoxenbawns";;"33";"1";"19";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"duSBF-8gREaFo5iDzvx9tw";"Stufts.";;"34";"1";"18";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"BnK_EofpRH2PlRwcuSn5yQ";"Supingo";;"35";"1";"17";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"36";"1";"16";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Cku-HEVwSQOU6NAQhx3fAA";"Tiger.TM";;"37";"1";"15";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"khnMZGPsTP6IkKQjkJPnHA";"Trunoob.TM";;"38";"1";"14";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"I3p2_-fgTVWFwgBBHr3qEg";"Xefas.";;"39";"1";"13";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"VrLUQdH3QimFjbn0BZ0H8g";"Xertzy.";;"40";"1";"12";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"wA4cueYFQ32ftBzGJfC1Kw";"Xicub.";;"41";"1";"11";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2fNxJLjqQNGpoKIHLy6gHQ";"Yekcosdo";;"42";"1";"10";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"ZtxQFxYKSW2-JiO2-DPInQ";"axperial";;"43";"1";"9";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"-zEiJKBRQlCQhShsZcS7rA";"bozbez";;"44";"1";"8";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2HxWwCaLRMy_ybI5oeFa0w";"eLconn13";;"45";"1";"7";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"1G-0XdQiR8mXhWcnCjEeJQ";"eLconn21";;"46";"1";"6";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"fOJep6TXS-qIwjo4nye8oQ";"eLconn34";;"47";"1";"5";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"uYHgsS1qRHCbUsH2sLHQpg";"l1ngotm";;"48";"1";"4";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"M-B5jTUeTCCewHKW_9joYw";"n0body_.";;"49";"1";"3";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"sows1g2nTn-OwdZdHTXdDQ";"nyigel.";;"50";"1";"2";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lyY9GN__RQSzdvUBipKvMw";"squikeay.wp";;"51";"1";"1";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"zdXECAYCS6WwEF51TiXL5A";"xephyr.chris";;"52";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"HvnBY5wLT8WpZpz5prn0Xg";"CUPaCAT_TM";;"53";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"mFG0r9bxSqmP5MvL-wXytA";"Evo.CD";;"54";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"ZdKXuFKdQsW1d522WU3_kg";"RaviFennec";;"55";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"56";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"bWg5EBkXRSCilQmD8HWNNQ";"dropp3d.TM";;"57";"1";"0";"-1";;"0";"2022-10-29 20:31:33";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"LjTDy5VISBWu48aFGKH9iA";"Nixotica";;"1";"1";"51";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"pGFZWSzLQmSN4RCM_OQlhQ";"Acide.";;"2";"1";"50";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lDJF5swBQOyA-Xe7LLtZFA";"HeavTM";;"3";"1";"49";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"OvpT1UGERteANMct3hF77w";"OMEGATM.";;"4";"1";"48";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"18AkUnMzSd-KMUz5MkdQBw";"sophie.ice";;"5";"1";"47";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"8hOxAJGpTVqRXb0cMbezbw";"Noiza.";;"6";"1";"46";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"7VeNdCHaTYWrce5EYn7Ckw";"SilentSamTM";;"7";"1";"45";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"v_3LZvEUR8eLuX0akMTs9w";"Brinkenn";;"8";"1";"44";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"bn2GhrXxSEOlFgESUCZ7tw";"Eria.TM";;"9";"1";"43";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Z82UdmQ2SrKU7TRQyMcYIg";"Ocadan";;"10";"1";"42";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"tJhFwq1BQqOiJK-Tk35LTQ";"Acrose17";;"11";"1";"41";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"NqRHMRkkQouv_26tRkW6QQ";"AgentWhiskeyy";;"12";"1";"40";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"_FLdcKPvQheMGYegxBCrUA";"AleksRakoon";;"13";"1";"39";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"g_pHUMO0QvWc_6flTfUF8w";"Babzify";;"14";"1";"38";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"XK_I6popRoeRAXE5dkMZCw";"DMR-GameBros";;"15";"1";"37";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"afsvjiq_StuQ2fP1ExHOaQ";"Dam_Pouleto";;"16";"1";"36";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"K0CkvsQuRoKZgDHFTJxU1w";"Dantafass";;"17";"1";"35";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Lwf4VbLYQla9CKf_v-IquQ";"Doc_TM";;"18";"1";"34";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"eUoobETZQnaDzkMcunurdA";"F9.Marius89";;"19";"1";"33";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"pRKvzOUWS0iUyFNKi27nQQ";"GibbonsterTM";;"20";"1";"32";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"a-vvGOgzR7a0LRECdkvMfQ";"HydroTM";;"21";"1";"31";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"sjtId3fEQGS73R-U0IEC9g";"Jaakaah";;"22";"1";"30";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"_GtxpYqIRiCG_EpIAWiPNg";"Jorday.";;"23";"1";"29";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"TZZ2qkvQQSC55Ztye2lxCA";"JoyBoyTM";;"24";"1";"28";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"vbsngjONQUGPmqBw7hozAg";"Nathan_....";;"25";"1";"27";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"24J8RGtsRzeTnX96aq4sSw";"PASZS";;"26";"1";"26";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Kc_n8nNnQ16mMQHwo3ZKQQ";"Paynn4Gahyeon";;"27";"1";"25";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"7AJp1S0ZQeupMQG4oRwnhA";"RandomTM-";;"28";"1";"24";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"cncibHERSXeVpllZONllTA";"Rh3torique";;"29";"1";"23";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2_K-XAMoRUGUMVWtUygEEA";"Seanywolf";;"30";"1";"22";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2_fmQG6AStmH3QO99YlNfg";"Shweetz";;"31";"1";"21";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"_KRQeGumT9S8tjKacsvKBQ";"Speedself";;"32";"1";"20";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"zIlQ8PbTRdytK83hIYqDmQ";"Stoxenbawns";;"33";"1";"19";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"duSBF-8gREaFo5iDzvx9tw";"Stufts.";;"34";"1";"18";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"BnK_EofpRH2PlRwcuSn5yQ";"Supingo";;"35";"1";"17";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lVsoxs1ZR5aAYBKMZhKLnw";"Thomas_Jean";;"36";"1";"16";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"Cku-HEVwSQOU6NAQhx3fAA";"Tiger.TM";;"37";"1";"15";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"khnMZGPsTP6IkKQjkJPnHA";"Trunoob.TM";;"38";"1";"14";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"I3p2_-fgTVWFwgBBHr3qEg";"Xefas.";;"39";"1";"13";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"VrLUQdH3QimFjbn0BZ0H8g";"Xertzy.";;"40";"1";"12";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"wA4cueYFQ32ftBzGJfC1Kw";"Xicub.";;"41";"1";"11";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2fNxJLjqQNGpoKIHLy6gHQ";"Yekcosdo";;"42";"1";"10";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"ZtxQFxYKSW2-JiO2-DPInQ";"axperial";;"43";"1";"9";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"-zEiJKBRQlCQhShsZcS7rA";"bozbez";;"44";"1";"8";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2HxWwCaLRMy_ybI5oeFa0w";"eLconn13";;"45";"1";"7";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"1G-0XdQiR8mXhWcnCjEeJQ";"eLconn21";;"46";"1";"6";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"fOJep6TXS-qIwjo4nye8oQ";"eLconn34";;"47";"1";"5";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"uYHgsS1qRHCbUsH2sLHQpg";"l1ngotm";;"48";"1";"4";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"M-B5jTUeTCCewHKW_9joYw";"n0body_.";;"49";"1";"3";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"sows1g2nTn-OwdZdHTXdDQ";"nyigel.";;"50";"1";"2";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"lyY9GN__RQSzdvUBipKvMw";"squikeay.wp";;"51";"1";"1";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"zdXECAYCS6WwEF51TiXL5A";"xephyr.chris";;"52";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"HvnBY5wLT8WpZpz5prn0Xg";"CUPaCAT_TM";;"53";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"mFG0r9bxSqmP5MvL-wXytA";"Evo.CD";;"54";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"ZdKXuFKdQsW1d522WU3_kg";"RaviFennec";;"55";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"2tuvKOe1Qpu_N4yMFBn89A";"That_Ski_Freak";;"56";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"OfqiMsUgy62ianHDHwU06qc3Fu9";"bWg5EBkXRSCilQmD8HWNNQ";"dropp3d.TM";;"57";"1";"0";"-1";;"1";"2022-10-29 20:31:35";
"rUscU6Bc_t5bQqV9n48ILMAl_hj";"LjTDy5VISBWu48aFGKH9iA";"Nixotica";;"1";"1";"167";"553385";"9108,19427,23045,28795,35268,38525,47008,52908,58590,66641,71708,75648,81402,86508,94082,100501,105314,111588,119725,130108,133691,139475,145882,149045,157582,163427,169351,177535,182665,186650,192235,197275,204788,211047,215845,222115,230417,240545,244132,250018,256395,259628,268135,273981,280132,288688,293808,297735,303410,308428,316088,322615,327317,333454,341686,351728,355332,361174,367631,370847,379305,385028,390735,398721,403778,407648,413255,418264,425612,431915,436783,443135,451262,461817,465585,471408,477773,481008,489428,495095,500757,508793,513788,517761,523385,528428,535978,542302,547174,553385";"0";"2022-10-29 21:01:13";
"rUscU6Bc_t5bQqV9n48ILMAl_hj";"cncibHERSXeVpllZONllTA";"Rh3torique";;"2";"1";"166";"557325";"9053,19586,23143,28941,35244,38770,47805,53418,59123,67187,72225,76312,82492,87645,95312,101701,106397,112625,121033,131144,134696,140566,146918,150123,158558,164434,170230,178378,183400,187501,193348,198375,206135,212618,217180,223457,231868,242036,245582,251470,257758,260933,269515,275241,280928,289101,294214,298362,304148,309177,316742,323222,328025,334432,342921,353190,356722,362641,369203,373457,382495,388338,394211,402308,407345,411548,417430,422441,429998,436152,440858,447062,455401,465614,469170,475093,481478,484631,493078,498775,504421,512371,517411,521524,527248,532263,539735,546048,550718,557325";"0";"2022-10-29 21:01:13";
